date_utc,symbole,direction,score,confluence,risque_usd_1R,r_realise,pnl_usd,volume_lots,type_sortie,mfe_r,mae_r
2026-08-17 13:41:50,AUDUSD,LONG,7.1,4,195.81,-1.0000,-195.81,1.83,sl,0.6822,-0.8879
2026-08-17 16:41:43,NAS100,LONG,8.7,5,247.74,-1.0000,-247.74,2.80,sl,0.0503,-0.9641
2026-08-17 17:11:49,BTCUSD,LONG,7.15,5,143.22,0.4000,57.28,0.91,trailing,1.6929,-0.9634
2026-08-17 20:06:43,SP500,SHORT,10.1,5,208.26,0.9376,195.26,26.00,tp,0.8602,-0.2634
2026-08-18 05:07:31,BTCUSD,LONG,7.05,5,246.41,-0.4826,-118.91,0.67,be,0.6346,-0.8495
2026-08-19 16:49:27,SP500,LONG,8.7,6,250.95,-1.0000,-250.95,24.76,sl,0.7274,-0.9459
2026-08-19 17:47:00,AUDUSD,LONG,7.7,5,200.86,-1.0000,-200.86,1.66,sl,-0.0496,-0.9339
2026-08-19 20:30:25,NAS100,SHORT,9.1,5,232.44,0.1236,28.74,1.29,be,0.3018,-0.2132
2026-08-20 09:32:30,BTCUSD,LONG,6.87,4,147.57,-1.0000,-147.58,0.91,sl,-0.1014,-0.913
2026-08-20 11:09:17,AUDUSD,LONG,7.1,4,202.50,-1.0000,-202.50,1.62,sl,0.128,-0.992
2026-08-20 18:05:47,SP500,SHORT,9.7,6,250.12,1.3374,334.52,14.56,tp,1.1704,-0.4197
2026-08-20 19:24:27,NAS100,SHORT,8.7,5,243.41,0.4000,97.37,2.22,trailing,1.2197,-0.4207
2026-08-21 02:01:43,SP500,SHORT,9.7,4,245.34,0.1204,29.54,9.07,be,0.482,-0.1691
2026-08-21 16:19:32,SP500,LONG,8.1,4,244.88,-1.0000,-244.88,16.91,sl,0.2685,-0.8875
2026-08-21 17:22:59,NAS100,LONG,7.5,3,253.51,-1.0000,-253.51,2.45,sl,0.009,-0.9685
2026-08-21 19:55:00,SP500,LONG,7.5,4,223.60,-1.0000,-223.60,26.00,sl,0.1907,-0.7395
2026-08-21 20:30:32,AUDUSD,LONG,7.1,3,199.92,0.2773,55.44,1.68,be,0.9664,-0.2689
2026-08-24 15:29:31,NAS100,SHORT,9.1,5,241.85,-1.0000,-241.85,3.69,sl,0.1295,-0.652
2026-08-24 17:25:27,BTCUSD,LONG,7.15,5,247.38,-1.0000,-247.38,0.22,sl,0.3313,-0.9514
2026-08-24 18:14:59,NAS100,SHORT,9.1,6,249.60,-1.0000,-249.60,6.00,sl,0.6538,-0.9928
2026-08-24 22:01:57,SP500,SHORT,9.1,5,247.72,-0.3834,-94.97,12.38,be,0.4414,-0.9489
2026-08-25 16:04:28,NAS100,SHORT,9.7,5,239.54,-1.0000,-239.54,3.74,sl,-0.0124,-0.9662
2026-08-25 23:23:33,SP500,LONG,7.1,3,256.59,-0.0232,-5.96,21.41,be,0.5329,-0.7807
2026-08-26 02:35:53,AUDUSD,LONG,8.1,4,192.91,2.3097,445.56,1.91,tp,2.297,-0.7624
