time,symbol,type,entry,volume,price,profit,commission,swap,magic,comment,position_id,order
1753473413,BTCUSD,1,0,0.15,116116.43,0.0,0.0,0.0,0,,341634392,341634392
1753473413,BTCUSD,1,0,0.15,116116.43,0.0,0.0,0.0,0,,341634394,341634394
1753479797,BTCUSD,0,1,0.15,116497.29,-211.53,0.0,0.0,0,[sl 116497.29],341491483,341702151
1753479797,BTCUSD,0,1,0.15,116497.29,-211.53,0.0,0.0,0,[sl 116497.29],341491485,341702152
1753479797,BTCUSD,0,1,0.15,116497.29,-228.58,0.0,0.0,0,[sl 116497.29],341499037,341702153
1753479797,BTCUSD,0,1,0.15,116497.29,-228.58,0.0,0.0,0,[sl 116497.29],341499042,341702154
1753479797,BTCUSD,0,1,0.15,116497.29,-208.4,0.0,0.0,0,[sl 116497.29],341509918,341702155
1753479797,BTCUSD,0,1,0.15,116497.29,-208.28,0.0,0.0,0,[sl 116497.29],341509923,341702156
1753479797,BTCUSD,0,1,0.15,116497.29,-180.49,0.0,0.0,0,[sl 116497.29],341517348,341702157
1753479797,BTCUSD,0,1,0.15,116497.29,-180.49,0.0,0.0,0,[sl 116497.29],341517351,341702158
1753479797,BTCUSD,0,1,0.15,116497.29,-173.81,0.0,0.0,0,[sl 116497.29],341533857,341702159
1753479797,BTCUSD,0,1,0.15,116497.29,-173.81,0.0,0.0,0,[sl 116497.29],341533860,341702160
1753479797,BTCUSD,0,1,0.15,116497.29,-172.85,0.0,0.0,0,[sl 116497.29],341533870,341702161
1753479797,BTCUSD,0,1,0.15,116497.29,-173.09,0.0,0.0,0,[sl 116497.29],341533874,341702162
1753479797,BTCUSD,0,1,0.15,116497.29,-143.17,0.0,0.0,0,[sl 116497.29],341540636,341702163
1753479797,BTCUSD,0,1,0.15,116497.29,-143.31,0.0,0.0,0,[sl 116497.29],341540637,341702164
1753479797,BTCUSD,0,1,0.15,116497.29,-147.22,0.0,0.0,0,[sl 116497.29],341547310,341702165
1753479797,BTCUSD,0,1,0.15,116497.29,-147.22,0.0,0.0,0,[sl 116497.29],341547315,341702166
1753481731,BTCUSD,0,1,0.15,116705.64,-88.39,0.0,0.0,0,[sl 116705.64],341634392,341715906
1753481731,BTCUSD,0,1,0.15,116705.64,-88.39,0.0,0.0,0,[sl 116705.64],341634394,341715907
1753483294,BTCUSD,0,1,0.16,116982.48,-103.39,0.0,0.0,0,[sl 116982.48],341197328,341728681
1753483294,BTCUSD,0,1,0.16,116982.48,-85.72,0.0,0.0,0,[sl 116982.48],341202206,341728683
1753483310,BTCUSD,0,1,0.16,117004.66,-99.07,0.0,0.0,0,[sl 117004.66],341191865,341728808
