timestamp,ticket,symbol,direction,profit,r_multiple,close_time,duration_minutes,entry_price,exit_price,volume,commission,swap,exit_type
2026-01-21T18:58:31.090391+00:00,687597184,AUDUSD,LONG,167.4,1050.8474576271553,2026-01-21T15:21:12+00:00,350.05,0.67531,0.67655,1.35,0.0,0.0,sl
2026-01-21T18:58:31.127936+00:00,688002377,LTCUSD,SHORT,3548.0,0.0429184549356223,2026-01-21T18:56:37+00:00,440.95,68.02,67.52,70.96,0.0,0.0,tp
2026-03-01T07:57:12.661183+00:00,897642224,BNBUSD,SHORT,-381.1,-0.09999999999999996,2026-03-01T03:50:52+00:00,965.25,589.61,627.72,1.0,0.0,0.0,sl
2026-03-15T17:52:55.900053+00:00,981573847,SOLUSD,SHORT,-68.0,-1.0000000000000004,2026-03-15T20:52:51+00:00,194.58333333333334,87.46,88.82,5.0,0.0,0.0,sl,
2026-03-16T12:42:31.553951+00:00,984092185,SP500,LONG,23.42,0.4364517331345521,2026-03-16T15:42:22+00:00,401.96666666666664,6677.96,6701.38,1.0,0.0,0.0,tp,
2026-03-16T15:02:07.844319+00:00,984095458,SOLUSD,LONG,-42.5,-0.22368421052631596,2026-03-16T18:01:43+00:00,540.1666666666666,94.21,93.36,5.0,0.0,0.0,be,
2026-03-16T15:24:08.496132+00:00,987278399,NAS100,LONG,60.38,0.26080946827350643,2026-03-16T18:24:05+00:00,19.216666666666665,24682.7,24743.08,1.0,0.0,0.0,tp,
2026-03-16T15:50:39.164188+00:00,987384961,BTCUSD,LONG,-41.92,-0.9999284402356798,2026-03-16T18:50:20+00:00,28.866666666666667,73821.62,73402.39,0.1,0.0,0.0,sl,
2026-03-16T18:08:43.080636+00:00,987565617,SOLUSD,LONG,25.0,0.10504201680672258,2026-03-16T21:08:26+00:00,136.96666666666667,93.78,94.28,5.0,0.0,0.0,tp,
2026-03-16T18:37:43.868438+00:00,987267685,AUDUSD,LONG,99.0,0.1386554621848733,2026-03-16T21:37:35+00:00,214.31666666666666,0.70643,0.70742,1.0,0.0,0.0,tp,
2026-03-16T18:49:14.228691+00:00,987280615,XAUUSD,SHORT,-310.35,-1.0000000000000193,2026-03-16T21:48:54+00:00,223.8,4996.72,5017.41,0.15,0.0,0.0,sl,
2026-03-16T19:10:14.884194+00:00,988337028,NAS100,LONG,73.59,2.327324478178443,2026-03-16T22:09:58+00:00,58.95,24724.55,24798.14,1.0,0.0,0.0,tp,
2026-03-16T19:11:14.928680+00:00,987260085,SP500,LONG,13.5,0.5836575875486354,2026-03-16T22:11:06+00:00,248.7,6707.81,6721.31,1.0,0.0,0.0,trailing,
2026-03-16T20:15:46.771019+00:00,988563577,SOLUSD,LONG,25.0,0.09157509157509144,2026-03-16T23:15:27+00:00,71.81666666666666,94.73,95.23,5.0,0.0,0.0,tp,
2026-03-16T20:34:17.966344+00:00,988870386,BNBUSD,SHORT,-34.3,-0.9999999999999813,2026-03-16T23:34:05+00:00,3.3,673.65,677.08,1.0,0.0,0.0,sl,
